,tri_edge,dom/cod,踊り,女性,スカート,夜,音楽,回る,揺れる,舞台
45,"('夜', '女性')",女性,-0.16666666666666669,0.65,0.6666666666666667,-0.7166666666666667,-0.17573375583870185,-0.2008385781013735,0.016666666666666666,-0.38333333333333336
46,"('夜', 'スカート')",夜,-0.43333333333333335,-0.6666666666666667,-0.8666666666666667,0.75,-0.5857791861290061,-0.326362689414732,-0.38333333333333336,-0.26666666666666666
47,"('夜', 'スカート')",スカート,-0.35,-0.03333333333333333,-0.25,0.2333333333333333,-0.6778302010921357,-0.20920685218893076,-0.2833333333333333,-0.31666666666666665
48,"('夜', '音楽')",夜,-0.5333333333333333,-0.7999999999999999,-0.8499999999999999,0.5666666666666667,-0.48535989707831934,-0.4435185266405332,-0.45,-0.2833333333333333
49,"('夜', '音楽')",音楽,-0.4874121679532904,0.4201829034080089,-0.16807316136320358,0.3109353485219266,-0.679330941746919,-0.514772514864125,-0.4033755872716886,-0.5714487486348921
50,"('夜', '回る')",夜,-0.7113032974423646,-0.43515025255297596,-0.7866177642303797,0.728039845617479,-0.773109243697479,-0.6050420168067228,-0.6025157343041205,-0.4769916229907622
51,"('夜', '回る')",回る,0.2833333333333333,-0.4666666666666666,-0.3,0.5166666666666667,-0.20920685218893076,0.2761530448893886,0.2833333333333333,-0.16666666666666669
52,"('夜', '揺れる')",夜,-0.26666666666666666,-0.7,-0.6666666666666667,0.7666666666666667,-0.33473096350228926,-0.18410202992625907,-0.25,-0.16666666666666669
53,"('夜', '揺れる')",揺れる,-0.10878756313824399,0.06694619270045785,-0.35146751167740364,0.4769916229907622,-0.6932773109243698,-0.1008403361344538,0.12552411131335847,-0.5188329934285483
54,"('夜', '舞台')",夜,-0.6166666666666666,-0.65,-0.8166666666666667,0.6833333333333333,-0.6694619270045785,-0.5188329934285483,-0.5,-0.43333333333333335
55,"('夜', '舞台')",舞台,-0.08333333333333334,-0.08333333333333334,-0.31666666666666665,0.7166666666666667,-0.4518868007280905,-0.05857791861290061,-0.13333333333333333,-0.2833333333333333
56,"('音楽', '踊り')",音楽,-0.5499999999999999,0.41666666666666663,-0.19999999999999998,0.33333333333333337,-0.652725378829464,-0.5774109120414489,-0.5,-0.5333333333333333
57,"('音楽', '踊り')",踊り,0.2333333333333333,-0.11666666666666665,0.3,-0.11666666666666665,0.4435185266405332,0.12552411131335847,-0.049999999999999996,0.18333333333333335
58,"('音楽', '女性')",音楽,-0.5499999999999999,0.41666666666666663,-0.19999999999999998,0.33333333333333337,-0.652725378829464,-0.5774109120414489,-0.5,-0.5333333333333333
59,"('音楽', '女性')",女性,-0.43333333333333335,0.31666666666666665,0.33333333333333337,-0.38333333333333336,-0.4686233489032049,-0.4602550748156477,-0.25,-0.65
60,"('音楽', 'スカート')",音楽,-0.5666666666666667,0.43333333333333335,-0.19999999999999998,0.19999999999999998,-0.7113032974423645,-0.6025157343041205,-0.43333333333333335,-0.6166666666666666
61,"('音楽', 'スカート')",スカート,-0.35,-0.33333333333333337,-0.35,0.18333333333333335,-0.5857791861290061,-0.22594340036404525,-0.33333333333333337,-0.26666666666666666
62,"('音楽', '夜')",音楽,-0.5666666666666667,0.43333333333333335,-0.19999999999999998,0.19999999999999998,-0.7113032974423645,-0.6025157343041205,-0.43333333333333335,-0.6166666666666666
63,"('音楽', '夜')",夜,-0.15,-0.8499999999999999,-0.6333333333333333,0.6166666666666666,-0.23431167445160245,-0.05020964452534338,-0.15,-0.09999999999999999
64,"('音楽', '回る')",音楽,-0.6333333333333333,0.39999999999999997,-0.25,0.26666666666666666,-0.6861984751796929,-0.652725378829464,-0.5333333333333333,-0.5666666666666667
65,"('音楽', '回る')",回る,0.09999999999999999,-0.7,-0.43333333333333335,0.5333333333333333,-0.19247030401381632,0.108787563138244,0.11666666666666665,-0.19999999999999998
66,"('音楽', '揺れる')",音楽,-0.6333333333333333,0.39999999999999997,-0.25,0.26666666666666666,-0.6861984751796929,-0.652725378829464,-0.5333333333333333,-0.5666666666666667
67,"('音楽', '揺れる')",揺れる,-0.22594340036404525,-0.5690426379538917,-0.7029350233548073,0.6443571047419068,-0.5588235294117647,-0.17647058823529413,-0.09205101496312953,-0.3849406080276326
68,"('音楽', '舞台')",音楽,-0.5499999999999999,0.41666666666666663,-0.19999999999999998,0.33333333333333337,-0.652725378829464,-0.5774109120414489,-0.5,-0.5333333333333333
69,"('音楽', '舞台')",舞台,0.016666666666666666,-0.11666666666666665,-0.2833333333333333,0.6166666666666666,-0.4100454302903043,0.02510482226267169,0.016666666666666666,-0.3
70,"('回る', '踊り')",回る,0.2833333333333333,-0.4666666666666666,-0.3,0.5166666666666667,-0.20920685218893076,0.2761530448893886,0.2833333333333333,-0.16666666666666669
71,"('回る', '踊り')",踊り,0.16666666666666669,-0.15,0.25,-0.049999999999999996,0.4686233489032049,0.07531446678801507,-0.15,0.2333333333333333
72,"('回る', '女性')",回る,0.35,-0.5,-0.38333333333333336,0.5333333333333333,-0.00836827408755723,0.34309923758984645,0.2833333333333333,0.06666666666666667
73,"('回る', '女性')",女性,-0.33333333333333337,-0.06666666666666667,0.16666666666666669,-0.6333333333333333,-0.07531446678801507,-0.326362689414732,-0.15,-0.26666666666666666
74,"('回る', 'スカート')",回る,0.26666666666666666,-0.41666666666666663,-0.35,0.5499999999999999,-0.16736548175114463,0.24267994853915967,0.21666666666666667,-0.09999999999999999
75,"('回る', 'スカート')",スカート,-0.6,-0.016666666666666666,-0.13333333333333333,0.16666666666666669,-0.8117225864930513,-0.5020964452534339,-0.41666666666666663,-0.6666666666666667
76,"('回る', '夜')",回る,0.2833333333333333,-0.4666666666666666,-0.3,0.5166666666666667,-0.20920685218893076,0.2761530448893886,0.2833333333333333,-0.16666666666666669
77,"('回る', '夜')",夜,-0.6833333333333333,-0.6166666666666666,-0.65,0.5499999999999999,-0.619252282479235,-0.5857791861290061,-0.5333333333333333,-0.5
78,"('回る', '音楽')",回る,0.06666666666666667,-0.7666666666666667,-0.48333333333333334,0.5499999999999999,-0.25104822262671694,0.12552411131335847,0.08333333333333334,-0.16666666666666669
79,"('回る', '音楽')",音楽,-0.6333333333333333,0.39999999999999997,-0.25,0.26666666666666666,-0.6861984751796929,-0.652725378829464,-0.5333333333333333,-0.5666666666666667
80,"('回る', '揺れる')",回る,0.33333333333333337,-0.3666666666666667,-0.26666666666666666,0.5333333333333333,-0.15062893357603013,0.31799441532717476,0.2333333333333333,-0.049999999999999996
81,"('回る', '揺れる')",揺れる,-0.09999999999999999,-0.06666666666666667,-0.33333333333333337,0.7333333333333334,-0.6276205565667923,-0.06694619270045785,-0.08333333333333334,-0.39999999999999997
82,"('回る', '舞台')",回る,0.11666666666666665,-0.6166666666666666,-0.45,0.6166666666666666,-0.23431167445160245,0.12552411131335847,0.09999999999999999,-0.18333333333333335
83,"('回る', '舞台')",舞台,-0.25,-0.06666666666666667,-0.41666666666666663,0.7666666666666667,-0.36820405985251814,-0.2845213189769458,-0.31666666666666665,-0.3
84,"('揺れる', '踊り')",揺れる,-0.06666666666666667,0.09999999999999999,-0.3,0.43333333333333335,-0.6778302010921357,-0.06694619270045785,0.18333333333333335,-0.5333333333333333
85,"('揺れる', '踊り')",踊り,0.35,-0.3,0.26666666666666666,-0.19999999999999998,0.7364081197050363,0.2761530448893886,0.049999999999999996,0.4666666666666666
86,"('揺れる', '女性')",揺れる,0.25941649671427414,-0.10878756313824399,-0.3765723339400754,0.4686233489032049,-0.14705882352941177,0.29411764705882354,0.3849406080276326,0.03347309635022892
87,"('揺れる', '女性')",女性,-0.06666666666666667,0.6666666666666667,0.7166666666666667,-0.8333333333333333,0.02510482226267169,-0.11715583722580122,0.09999999999999999,-0.2333333333333333
88,"('揺れる', 'スカート')",揺れる,-0.06666666666666667,0.09999999999999999,-0.3,0.43333333333333335,-0.6778302010921357,-0.06694619270045785,0.18333333333333335,-0.5333333333333333
89,"('揺れる', 'スカート')",スカート,-0.3,0.06666666666666667,0.09999999999999999,-0.15,-0.6025157343041205,-0.2008385781013735,-0.18333333333333335,-0.43333333333333335
90,"('揺れる', '夜')",揺れる,-0.16666666666666669,-0.016666666666666666,-0.39999999999999997,0.4666666666666666,-0.728039845617479,-0.16736548175114463,0.09999999999999999,-0.6
91,"('揺れる', '夜')",夜,-0.3,-0.7666666666666667,-0.6833333333333333,0.7833333333333333,-0.36820405985251814,-0.20920685218893076,-0.31666666666666665,-0.18333333333333335
92,"('揺れる', '音楽')",揺れる,-0.26666666666666666,-0.6,-0.75,0.6833333333333333,-0.5690426379538917,-0.20920685218893076,-0.15,-0.3666666666666667
93,"('揺れる', '音楽')",音楽,-0.7,0.35,-0.33333333333333337,0.2833333333333333,-0.7029350233548074,-0.728039845617479,-0.5499999999999999,-0.6166666666666666
94,"('揺れる', '回る')",揺れる,-0.07531446678801507,0.025104822262671692,-0.34309923758984645,0.7364081197050363,-0.5756302521008404,-0.05882352941176471,-0.050209644525343385,-0.35146751167740364
95,"('揺れる', '回る')",回る,0.2833333333333333,-0.38333333333333336,-0.3666666666666667,0.5833333333333334,-0.16736548175114463,0.30125786715206027,0.13333333333333333,0.049999999999999996
96,"('揺れる', '舞台')",揺れる,-0.25,-0.2333333333333333,-0.48333333333333334,0.4666666666666666,-0.6945667492672501,-0.24267994853915967,0.016666666666666666,-0.6333333333333333
97,"('揺れる', '舞台')",舞台,-0.08333333333333334,-0.049999999999999996,-0.3,0.5166666666666667,-0.5020964452534339,-0.09205101496312953,0.03333333333333333,-0.45
98,"('舞台', '踊り')",舞台,-0.06666666666666667,-0.21666666666666667,-0.39999999999999997,0.7166666666666667,-0.2845213189769458,-0.07531446678801507,-0.11666666666666665,-0.21666666666666667
99,"('舞台', '踊り')",踊り,0.09999999999999999,-0.2333333333333333,0.18333333333333335,0.03333333333333333,0.33473096350228926,0.02510482226267169,-0.18333333333333335,0.11666666666666665
100,"('舞台', '女性')",舞台,-0.11666666666666665,-0.19999999999999998,-0.41666666666666663,0.7,-0.401677156202747,-0.10041928905068676,-0.09999999999999999,-0.3
101,"('舞台', '女性')",女性,-0.4666666666666666,0.43333333333333335,0.3,-0.5,-0.326362689414732,-0.5188329934285483,-0.31666666666666665,-0.5
102,"('舞台', 'スカート')",舞台,-0.16666666666666669,-0.33333333333333337,-0.5333333333333333,0.75,-0.35983578576496095,-0.1338923854009157,-0.16666666666666669,-0.2333333333333333
103,"('舞台', 'スカート')",スカート,-0.25104822262671694,-0.15899720766358738,0.07531446678801507,-0.20083857810137354,-0.5882352941176471,-0.17226890756302524,-0.050209644525343385,-0.5523060897787773
104,"('舞台', '夜')",舞台,-0.18333333333333335,-0.06666666666666667,-0.38333333333333336,0.7666666666666667,-0.5355695416036628,-0.16736548175114463,-0.19999999999999998,-0.3666666666666667
105,"('舞台', '夜')",夜,-0.7166666666666667,-0.5666666666666667,-0.7999999999999999,0.6333333333333333,-0.7196715715299219,-0.6108840083916779,-0.5666666666666667,-0.48333333333333334
106,"('舞台', '音楽')",舞台,0.13333333333333333,-0.35,-0.3666666666666667,0.6,-0.30125786715206027,0.17573375583870185,0.049999999999999996,-0.09999999999999999
107,"('舞台', '音楽')",音楽,-0.6333333333333333,0.35,-0.3,0.41666666666666663,-0.6778302010921357,-0.6443571047419068,-0.6166666666666666,-0.5
108,"('舞台', '回る')",舞台,-0.35,-0.03333333333333333,-0.45,0.7333333333333334,-0.6025157343041205,-0.33473096350228926,-0.2833333333333333,-0.4666666666666666
109,"('舞台', '回る')",回る,0.16666666666666669,-0.48333333333333334,-0.33333333333333337,0.5666666666666667,-0.2761530448893886,0.15899720766358738,0.16666666666666669,-0.25
110,"('舞台', '揺れる')",舞台,-0.21666666666666667,-0.11666666666666665,-0.39999999999999997,0.65,-0.4518868007280905,-0.19247030401381632,-0.16666666666666669,-0.35
111,"('舞台', '揺れる')",揺れる,-0.39999999999999997,-0.11666666666666665,-0.5,0.4666666666666666,-0.8619322310183948,-0.38494060802763264,-0.11666666666666665,-0.7333333333333334
