	tri_edge	dom/cod	Storm_Launcher	Truckers_Protest	Elese_Daniel	Dortmunder_Gold	metallic_leggings	Lisa_Hurunui	spincasting	losers_Hostettler_Santorum	SCOR.PA_Quote_Profile_Research	NA
102	('Syed_Ameer', 'Stock_Exchange_PAMP_Pampa')	Syed_Ameer	0	74	91	0	0	26	24	111	58	616
103	('Syed_Ameer', 'Stock_Exchange_PAMP_Pampa')	Stock_Exchange_PAMP_Pampa	0	90	21	14	53	50	31	17	108	616
104	('Syed_Ameer', 'Polanco_hyperextended')	Syed_Ameer	0	98	127	0	0	47	35	157	124	412
105	('Syed_Ameer', 'Polanco_hyperextended')	Polanco_hyperextended	0	107	150	61	38	55	39	44	94	412
106	('Syed_Ameer', 'SUTA')	Syed_Ameer	0	58	63	0	0	17	9	99	52	702
107	('Syed_Ameer', 'SUTA')	SUTA	0	90	58	0	0	31	12	36	71	702
108	('Syed_Ameer', 'Pandyan')	Syed_Ameer	0	77	76	0	0	16	11	60	52	708
109	('Syed_Ameer', 'Pandyan')	Pandyan	0	21	56	9	28	35	38	47	58	708
110	('Syed_Ameer', 'BÝA_Istanbul')	Syed_Ameer	0	69	78	0	0	17	6	110	54	666
111	('Syed_Ameer', 'BÝA_Istanbul')	BÝA_Istanbul	0	118	37	77	0	23	0	26	53	666
